Usia,Pekerjaan,Performa,Kamera,Storage,Baterai,Ergonomi,Label
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Rendah,Sedang,Sedang,Rendah,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Gaming
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Ekonomis
Dewasa,Tidak_Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Sedang,Sedang,Tinggi,Ekonomis
Remaja,Pelajar,Rendah,Tinggi,Tinggi,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Tinggi,Sedang,Rendah,Tinggi,Ekonomis
Lansia,Tidak_Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Rendah,Sedang,Ekonomis
Remaja,Tidak_Bekerja,Sedang,Rendah,Tinggi,Sedang,Sedang,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Tinggi,Rendah,Sedang,Sedang,Sedang,Gaming
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Sedang,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Bekerja,Rendah,Sedang,Sedang,Sedang,Rendah,Produktivitas
Remaja,Pelajar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Tinggi,Sedang,Rendah,Sedang,Produktivitas
Remaja,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Lansia,Bekerja,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Sedang,Rendah,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Remaja,Bekerja,Sedang,Sedang,Sedang,Rendah,Tinggi,Ekonomis
Lansia,Bekerja,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Tinggi,Rendah,Sedang,Gaming
Dewasa,Bekerja,Rendah,Tinggi,Sedang,Tinggi,Sedang,Ekonomis
Lansia,Bekerja,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Lansia,Bekerja,Sedang,Rendah,Sedang,Tinggi,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Lansia,Bekerja,Rendah,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Rendah,Rendah,Sedang,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Tinggi,Sedang,Gaming
Dewasa,Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Sedang,Tinggi,Rendah,Produktivitas
Lansia,Bekerja,Tinggi,Rendah,Rendah,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Lansia,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Rendah,Gaming
Dewasa,Tidak_Bekerja,Rendah,Tinggi,Rendah,Sedang,Rendah,Produktivitas
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Pelajar,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Pelajar,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Gaming
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Lansia,Tidak_Bekerja,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Sedang,Rendah,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Sedang,Sedang,Rendah,Ekonomis
Remaja,Tidak_Bekerja,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Produktivitas
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Rendah,Sedang,Tinggi,Sedang,Sedang,Produktivitas
Lansia,Tidak_Bekerja,Rendah,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Rendah,Rendah,Rendah,Rendah,Produktivitas
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Rendah,Sedang,Sedang,Gaming
Dewasa,Tidak_Bekerja,Sedang,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Lansia,Tidak_Bekerja,Rendah,Rendah,Rendah,Tinggi,Rendah,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Lansia,Tidak_Bekerja,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Gaming
Dewasa,Bekerja,Rendah,Sedang,Tinggi,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Tinggi,Sedang,Sedang,Rendah,Tinggi,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Gaming
Remaja,Pelajar,Rendah,Tinggi,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Rendah,Rendah,Sedang,Sedang,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Sedang,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Tinggi,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Produktivitas
Dewasa,Bekerja,Rendah,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Pelajar,Sedang,Tinggi,Sedang,Sedang,Sedang,Gaming
Dewasa,Pelajar,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Gaming
Lansia,Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Sedang,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Rendah,Sedang,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Rendah,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Sedang,Rendah,Sedang,Tinggi,Tinggi,Produktivitas
Remaja,Pelajar,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Gaming
Remaja,Pelajar,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Remaja,Tidak_Bekerja,Sedang,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Tinggi,Tinggi,Sedang,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Lansia,Tidak_Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Sedang,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Tidak_Bekerja,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Ekonomis
Remaja,Pelajar,Sedang,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Sedang,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Rendah,Sedang,Sedang,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Rendah,Tinggi,Tinggi,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Sedang,Sedang,Sedang,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Rendah,Sedang,Sedang,Rendah,Sedang,Ekonomis
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Pelajar,Tinggi,Tinggi,Tinggi,Rendah,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Gaming
Remaja,Tidak_Bekerja,Sedang,Rendah,Sedang,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Rendah,Rendah,Produktivitas
Remaja,Pelajar,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Produktivitas
Remaja,Pelajar,Tinggi,Rendah,Sedang,Sedang,Tinggi,Gaming
Remaja,Pelajar,Rendah,Sedang,Rendah,Rendah,Sedang,Ekonomis
Dewasa,Pelajar,Sedang,Sedang,Sedang,Rendah,Tinggi,Produktivitas
Remaja,Tidak_Bekerja,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Dewasa,Bekerja,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Produktivitas
Lansia,Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Remaja,Bekerja,Tinggi,Rendah,Tinggi,Rendah,Tinggi,Gaming
Remaja,Tidak_Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Tidak_Bekerja,Sedang,Rendah,Sedang,Tinggi,Rendah,Produktivitas
Remaja,Tidak_Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Rendah,Ekonomis
Remaja,Tidak_Bekerja,Sedang,Rendah,Rendah,Rendah,Sedang,Ekonomis
Remaja,Tidak_Bekerja,Tinggi,Rendah,Tinggi,Rendah,Sedang,Ekonomis
Dewasa,Bekerja,Tinggi,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Remaja,Tidak_Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Rendah,Sedang,Sedang,Ekonomis
Dewasa,Pelajar,Sedang,Rendah,Rendah,Rendah,Sedang,Gaming
Remaja,Pelajar,Tinggi,Rendah,Rendah,Tinggi,Sedang,Gaming
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Rendah,Tinggi,Ekonomis
Remaja,Pelajar,Tinggi,Sedang,Tinggi,Rendah,Sedang,Ekonomis
Dewasa,Bekerja,Sedang,Rendah,Sedang,Tinggi,Sedang,Ekonomis
Dewasa,Tidak_Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Gaming
Dewasa,Bekerja,Rendah,Rendah,Sedang,Sedang,Sedang,Produktivitas
Lansia,Tidak_Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Rendah,Rendah,Sedang,Tinggi,Gaming
Remaja,Pelajar,Sedang,Sedang,Tinggi,Sedang,Tinggi,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Rendah,Tinggi,Sedang,Ekonomis
Dewasa,Bekerja,Tinggi,Sedang,Rendah,Tinggi,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Sedang,Sedang,Sedang,Sedang,Ekonomis
Dewasa,Tidak_Bekerja,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Sedang,Rendah,Rendah,Rendah,Sedang,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Tidak_Bekerja,Sedang,Rendah,Sedang,Tinggi,Rendah,Gaming
Remaja,Bekerja,Tinggi,Sedang,Rendah,Sedang,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Rendah,Sedang,Gaming
Remaja,Tidak_Bekerja,Rendah,Rendah,Sedang,Rendah,Tinggi,Produktivitas
Dewasa,Bekerja,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Produktivitas
Remaja,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Produktivitas
Dewasa,Tidak_Bekerja,Sedang,Sedang,Rendah,Tinggi,Tinggi,Produktivitas
Lansia,Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Remaja,Bekerja,Tinggi,Rendah,Sedang,Rendah,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Gaming
Remaja,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Gaming
Lansia,Bekerja,Rendah,Rendah,Rendah,Tinggi,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Sedang,Sedang,Produktivitas
Remaja,Pelajar,Tinggi,Tinggi,Sedang,Rendah,Sedang,Gaming
Remaja,Tidak_Bekerja,Rendah,Rendah,Sedang,Rendah,Sedang,Gaming
Dewasa,Pelajar,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Pelajar,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Pelajar,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Pelajar,Sedang,Sedang,Sedang,Tinggi,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Gaming
Remaja,Tidak_Bekerja,Sedang,Rendah,Sedang,Tinggi,Sedang,Ekonomis
Dewasa,Bekerja,Sedang,Rendah,Rendah,Rendah,Sedang,Produktivitas
Dewasa,Tidak_Bekerja,Sedang,Rendah,Sedang,Sedang,Tinggi,Produktivitas
Dewasa,Tidak_Bekerja,Rendah,Rendah,Rendah,Rendah,Sedang,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Sedang,Sedang,Produktivitas
Dewasa,Pelajar,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Sedang,Tinggi,Sedang,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Sedang,Sedang,Sedang,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Rendah,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Tinggi,Rendah,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Gaming
Remaja,Tidak_Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Lansia,Tidak_Bekerja,Rendah,Sedang,Rendah,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Tinggi,Rendah,Tinggi,Rendah,Tinggi,Gaming
Dewasa,Tidak_Bekerja,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Ekonomis
Dewasa,Tidak_Bekerja,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Ekonomis
Dewasa,Tidak_Bekerja,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Ekonomis
Lansia,Bekerja,Rendah,Rendah,Sedang,Tinggi,Rendah,Produktivitas
Dewasa,Bekerja,Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Produktivitas
Dewasa,Pelajar,Tinggi,Sedang,Rendah,Sedang,Sedang,Ekonomis
Dewasa,Bekerja,Sedang,Sedang,Sedang,Tinggi,Rendah,Produktivitas
Dewasa,Tidak_Bekerja,Sedang,Rendah,Tinggi,Sedang,Sedang,Produktivitas
